start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
2014.580821917808,2014.6657534246576,-0.3031,0.2571,49303.4,48000.8
2014.6657534246576,2014.74794520548,-0.0569,0.1793,49303.4,48000.8
2014.74794520548,2014.8328767123287,0.0608,0.0661,49303.4,47807.5
2014.8328767123287,2014.9150684931508,0.0461,0.0629,49303.4,47807.5
2014.9150684931508,2015.0,0.0293,0.044,49303.4,47807.5
2015.0,2015.0849315068488,0.0451,0.0616,49303.4,47807.5
2015.0849315068488,2015.1616438356164,0.0491,0.0686,49303.4,47807.5
2015.1616438356164,2015.2465753424656,0.07,0.0738,49303.4,47807.5
2015.2465753424656,2015.328767123288,0.0797,0.0646,49303.4,47807.5
2015.328767123288,2015.4136986301369,0.0997,0.0785,49303.4,47807.5
2015.4136986301369,2015.495890410959,0.051,0.163,49303.4,47807.5
2015.495890410959,2015.580821917808,-0.3677,0.2527,49303.4,47807.5
2015.580821917808,2015.6657534246576,-0.3233,0.2116,49303.4,47807.5
2015.6657534246576,2015.74794520548,-0.0297,0.1707,49303.4,47807.5
2015.74794520548,2015.8328767123287,0.0443,0.0564,49303.4,47730.1
2015.8328767123287,2015.9150684931508,0.0502,0.0674,49303.4,47730.1
2015.9150684931508,2016.0,0.0391,0.0509,49303.4,47730.1
2016.0,2016.084699453552,0.0342,0.0449,49303.4,47730.1
2016.084699453552,2016.1639344262296,0.0212,0.027,49303.4,47730.1
2016.1639344262296,2016.2486338797808,0.0615,0.0781,49303.4,47730.1
2016.2486338797808,2016.330601092896,0.0885,0.0628,49303.4,47730.1
2016.330601092896,2016.415300546448,0.1132,0.0953,49303.4,47730.1
2016.415300546448,2016.4972677595629,0.0718,0.1652,49303.4,47730.1
2016.4972677595629,2016.5819672131147,-0.2062,0.1702,49303.4,47730.1
2016.5819672131147,2016.6666666666667,-0.3637,0.2807,49303.4,47730.1
2016.6666666666667,2016.7486338797808,0.046,0.1797,49303.4,47730.1
2016.7486338797808,2016.8333333333333,0.06,0.0688,49303.4,47604.2
2016.8333333333333,2016.915300546448,0.0517,0.0567,49303.4,47604.2
2016.915300546448,2017.0,0.0607,0.0964,49303.4,47604.2
2017.0,2017.0849315068488,0.0451,0.0657,49303.4,47604.2
2017.0849315068488,2017.1616438356164,0.0672,0.0867,49303.4,47604.2
2017.1616438356164,2017.2465753424656,0.071,0.0756,49303.4,47604.2
2017.2465753424656,2017.328767123288,0.1127,0.0861,49303.4,47604.2
2017.328767123288,2017.4136986301369,0.0779,0.0665,49303.4,47604.2
2017.4136986301369,2017.495890410959,-0.012,0.1907,49303.4,47604.2
2017.495890410959,2017.580821917808,-0.396,0.2213,49303.4,47604.2
2017.580821917808,2017.6657534246576,-0.3772,0.1927,49303.4,47604.2
2017.6657534246576,2017.74794520548,-0.0765,0.1866,49303.4,47604.2
2017.74794520548,2017.8328767123287,0.0397,0.0479,49303.4,47389.3
2017.8328767123287,2017.9150684931508,0.0258,0.0297,49303.4,47389.3
2017.9150684931508,2018.0,0.0377,0.0476,49303.4,47389.3
2018.0,2018.0849315068488,0.0358,0.0431,49303.4,47389.3
2018.0849315068488,2018.1616438356164,0.0486,0.0657,49303.4,47389.3
2018.1616438356164,2018.2465753424656,0.0717,0.0949,49303.4,47389.3
